code_insee,code_postal,eurocircos_name,comsimp_name,pref_related,latitude,longitude
38291,38260,Pajay,Pajay,Vienne,45.366667,5.133333
38292,38137,Paladru,Villages du Lac de Paladru,La Tour-du-Pin,45.466667,5.55
38293,38730,Panissage,Panissage,La Tour-du-Pin,45.483333,5.45
38294,38460,Panossas,Panossas,La Tour-du-Pin,45.683333,5.2
38295,38390,Parmilieu,Parmilieu,La Tour-du-Pin,45.833333,5.35
38296,38490,Le Passage,Le Passage,La Tour-du-Pin,45.516667,5.5
38297,38510,Passins,Arandon-Passins,La Tour-du-Pin,45.683333,5.433333
38298,38550,Le Péage-de-Roussillon,Le Péage-de-Roussillon,Vienne,45.366667,4.8
38299,38970,Pellafol,Pellafol,Grenoble,44.8,5.916667
38300,38260,Penol,Penol,Vienne,45.383333,5.2
38301,38930,Percy,Percy,Grenoble,,
38302,38740,Le Périer,Le Périer,Grenoble,44.933333,5.966667
38303,38570,La Pierre,La Pierre,Grenoble,45.291667,5.95
38304,38119,Pierre-Châtel,Pierre-Châtel,Grenoble,44.95,5.766667
38306,38580,Pinsot,Pinsot,Grenoble,45.35,6.1
38307,38270,Pisieu,Pisieu,Vienne,45.383333,5.05
38308,38590,Plan,Plan,Vienne,45.316667,5.4
38309,38320,Poisat,Poisat,Grenoble,45.15,5.766667
38310,38210,Poliénas,Poliénas,Grenoble,45.25,5.466667
